city,state_code,total,virus,virus_p
Omaha,NE,1732,394,0.227
Omaha,NE,5433,2163,0.398
Omaha,NE,9724,2696,0.277
Omaha,NE,7985,5513,0.690
Offutt A F B,NE,1408,1124,0.798
Omaha,NE,2846,48,0.017
Omaha,NE,5864,1069,0.182
Omaha,NE,414,218,0.527
Omaha,NE,5606,533,0.095
Omaha,NE,2986,1831,0.613
Omaha,NE,3821,3588,0.939
Omaha,NE,3124,2938,0.940
Bellevue,NE,6206,1713,0.276
Omaha,NE,1267,492,0.388
Omaha,NE,7681,6469,0.842
La Vista,NE,2839,1882,0.663
Omaha,NE,9676,4140,0.428
Omaha,NE,6345,4144,0.653
Omaha,NE,9599,347,0.036
Papillion,NE,1939,596,0.307
Omaha,NE,8216,3121,0.380
Omaha,NE,6359,6154,0.968
Omaha,NE,2224,65,0.029
Omaha,NE,4762,731,0.154
Omaha,NE,9141,3084,0.337
Omaha,NE,8897,2588,0.291
Omaha,NE,1068,182,0.170
Omaha,NE,8523,462,0.054
Omaha,NE,2854,1535,0.538
Bellevue,NE,7036,1702,0.242
Omaha,NE,8194,5541,0.676
Omaha,NE,8064,7697,0.954
Omaha,NE,5546,4995,0.901
Omaha,NE,6809,2232,0.328
Omaha,NE,5902,2738,0.464
Omaha,NE,4004,3205,0.800
Omaha,NE,94,89,0.947
Omaha,NE,6367,1875,0.294
Omaha,NE,6545,2107,0.322
Omaha,NE,6743,5345,0.793
Omaha,NE,8091,1890,0.234
Omaha,NE,1910,1079,0.565
Omaha,NE,3469,2363,0.681
Omaha,NE,484,401,0.829
Omaha,NE,4498,4371,0.972
Omaha,NE,2076,882,0.425
Adams,NE,4281,503,0.117
Alexandria,NE,8084,7631,0.944
Alvo,NE,9353,4990,0.534
Auburn,NE,2202,2174,0.987
Avoca,NE,6010,296,0.049
Barneston,NE,8091,2406,0.297
Beatrice,NE,2020,1901,0.941
Beaver Crossing,NE,3389,1253,0.370
Bee,NE,1949,1583,0.812
Belvidere,NE,8560,4977,0.581
Benedict,NE,9536,2814,0.295
Bennet,NE,4791,1857,0.388
Blue Springs,NE,8245,1198,0.145
Bradshaw,NE,5033,1029,0.204
Brock,NE,1384,1248,0.902
Brownville,NE,9230,6963,0.754
Bruning,NE,8701,204,0.023
Burchard,NE,8561,4038,0.472
Burr,NE,9026,1445,0.160
Byron,NE,6348,1392,0.219
Carleton,NE,5525,3218,0.582
Chester,NE,7859,2839,0.361
Clatonia,NE,7365,2908,0.395
Cook,NE,8370,3791,0.453
Cordova,NE,5220,4906,0.940
Cortland,NE,7556,795,0.105
Crab Orchard,NE,8398,1170,0.139
Crete,NE,8699,7366,0.847
Davenport,NE,1264,858,0.679
Davey,NE,8743,5203,0.595
Dawson,NE,84,72,0.857
Daykin,NE,685,552,0.806
Denton,NE,1940,364,0.188
Deshler,NE,2479,728,0.294
De Witt,NE,1465,562,0.384
Diller,NE,1580,36,0.023
Dorchester,NE,5968,5227,0.876
Douglas,NE,100,23,0.230
Du Bois,NE,9184,1733,0.189
Dunbar,NE,1157,664,0.574
Eagle,NE,2404,1609,0.669
Elk Creek,NE,5840,2829,0.484
Elmwood,NE,2368,254,0.107
Endicott,NE,3778,3662,0.969
Exeter,NE,9018,1755,0.195
Fairbury,NE,2595,2298,0.886
Fairmont,NE,4951,3164,0.639
Falls City,NE,8626,5220,0.605
Filley,NE,927,103,0.111
Firth,NE,1483,977,0.659
Friend,NE,7213,6557,0.909
Garland,NE,8713,1053,0.121
Geneva,NE,7645,6741,0.882
Gilead,NE,1347,1031,0.765
Goehner,NE,6928,2873,0.415
Grafton,NE,346,185,0.535
Greenwood,NE,1532,835,0.545
Gresham,NE,7954,5537,0.696
Hallam,NE,2556,118,0.046
Hebron,NE,8096,6342,0.783
Henderson,NE,6523,5837,0.895
Hickman,NE,6621,6211,0.938
Hubbell,NE,5791,3108,0.537
Humboldt,NE,6048,1400,0.231
Jansen,NE,3004,25,0.008
Johnson,NE,8183,5215,0.637
Julian,NE,4456,771,0.173
Lewiston,NE,1269,121,0.095
Liberty,NE,4800,3429,0.714
Lorton,NE,4038,624,0.155
Mc Cool Junction,NE,8888,6908,0.777
Malcolm,NE,7730,6170,0.798
Manley,NE,5726,5384,0.940
Martell,NE,9487,548,0.058
Milford,NE,6499,4713,0.725
Milligan,NE,7600,1539,0.203
Murdock,NE,8312,6551,0.788
Murray,NE,6583,498,0.076
Nebraska City,NE,5184,2977,0.574
Nehawka,NE,5806,4819,0.830
Nemaha,NE,9319,5558,0.596
Odell,NE,9000,2668,0.296
Ohiowa,NE,6961,3194,0.459
Otoe,NE,5776,4207,0.728
Palmyra,NE,4688,3847,0.821
Panama,NE,6737,3013,0.447
Pawnee City,NE,5860,1546,0.264
Peru,NE,3524,2883,0.818
Pickrell,NE,6809,2828,0.415
Pleasant Dale,NE,8344,6705,0.804
Plymouth,NE,9419,4646,0.493
Raymond,NE,6730,6665,0.990
Reynolds,NE,7895,3008,0.381
Roca,NE,8324,5842,0.702
Rulo,NE,2589,1801,0.696
Salem,NE,7483,1981,0.265
Seward,NE,6916,191,0.028
Shickley,NE,3740,3087,0.825
Shubert,NE,1551,1509,0.973
Sprague,NE,6094,1653,0.271
Staplehurst,NE,2292,740,0.323
Steele City,NE,5165,1285,0.249
Steinauer,NE,4984,3763,0.755
Stella,NE,7542,6532,0.866
Sterling,NE,1231,241,0.196
Strang,NE,7182,7125,0.992
Swanton,NE,8867,1427,0.161
Syracuse,NE,9335,964,0.103
Table Rock,NE,1850,1151,0.622
Talmage,NE,3552,2031,0.572
Tecumseh,NE,1936,383,0.198
Ong,NE,9644,2826,0.293
Tobias,NE,1337,343,0.257
Unadilla,NE,5544,4119,0.743
Union,NE,8687,7508,0.864
Utica,NE,2531,1646,0.650
Verdon,NE,8278,179,0.022
Virginia,NE,4339,3631,0.837
Waco,NE,2144,517,0.241
Walton,NE,3798,1935,0.509
Waverly,NE,5176,2775,0.536
Weeping Water,NE,8974,956,0.107
Western,NE,7666,629,0.082
Wilber,NE,4678,282,0.060
Wymore,NE,2530,2503,0.989
York,NE,8851,197,0.022
Lincoln,NE,7153,6374,0.891
Lincoln,NE,1244,299,0.240
Lincoln,NE,3204,250,0.078
Lincoln,NE,820,361,0.440
Lincoln,NE,6456,1962,0.304
Lincoln,NE,8168,6594,0.807
Lincoln,NE,7623,7306,0.958
Lincoln,NE,9493,6430,0.677
Lincoln,NE,3542,2840,0.802
Lincoln,NE,5071,658,0.130
Lincoln,NE,9493,1189,0.125
Lincoln,NE,5149,802,0.156
Lincoln,NE,739,312,0.422
Lincoln,NE,8259,1090,0.132
Lincoln,NE,5761,3581,0.622
Lincoln,NE,1511,168,0.111
Lincoln,NE,3890,919,0.236
Lincoln,NE,5856,4327,0.739
Lincoln,NE,4077,2066,0.507
Lincoln,NE,9927,4184,0.421
Lincoln,NE,5929,3322,0.560
Lincoln,NE,9443,1737,0.184
Lincoln,NE,2449,1715,0.700
Lincoln,NE,1423,1057,0.743
Lincoln,NE,3588,291,0.081
Lincoln,NE,7238,7141,0.987
Lincoln,NE,5565,2241,0.403
Lincoln,NE,3353,738,0.220
Columbus,NE,9614,8032,0.835
Columbus,NE,2954,1658,0.561
Albion,NE,8486,1392,0.164
Ames,NE,7689,4668,0.607
Bartlett,NE,2423,1485,0.613
Belgrade,NE,5167,173,0.033
Bellwood,NE,1276,914,0.716
Brainard,NE,7818,2618,0.335
Cedar Rapids,NE,3639,3294,0.905
Clarks,NE,5594,4596,0.822
Clarkson,NE,3204,2083,0.650
Creston,NE,6561,5707,0.870
David City,NE,1591,1153,0.725
Dodge,NE,7209,7117,0.987
Duncan,NE,7760,1850,0.238
Dwight,NE,76,5,0.066
Elgin,NE,6518,5804,0.890
Ericson,NE,916,787,0.859
Fullerton,NE,3361,158,0.047
Genoa,NE,4435,3580,0.807
Howells,NE,5967,4455,0.747
Humphrey,NE,3815,3336,0.874
Leigh,NE,2410,2238,0.929
Lindsay,NE,4329,3892,0.899
Monroe,NE,774,297,0.384
Morse Bluff,NE,664,251,0.378
North Bend,NE,2935,11,0.004
Osceola,NE,7236,457,0.063
Petersburg,NE,9326,4694,0.503
Platte Center,NE,9607,4891,0.509
Polk,NE,1138,469,0.412
Primrose,NE,3762,2404,0.639
Rising City,NE,7838,3859,0.492
Rogers,NE,3244,2891,0.891
Saint Edward,NE,4008,2090,0.521
Schuyler,NE,6765,5503,0.813
Shelby,NE,390,34,0.087
Silver Creek,NE,9961,4632,0.465
Snyder,NE,360,229,0.636
Spalding,NE,3105,431,0.139
Stromsburg,NE,8106,3874,0.478
Surprise,NE,1773,1173,0.662
Ulysses,NE,7750,2071,0.267
Norfolk,NE,3975,1675,0.421
Norfolk,NE,6398,5859,0.916
Allen,NE,8451,738,0.087
Amelia,NE,7436,2857,0.384
Atkinson,NE,6379,3353,0.526
Bassett,NE,9037,7521,0.832
Battle Creek,NE,9865,7083,0.718
Beemer,NE,1520,918,0.604
Belden,NE,4164,2151,0.517
Bloomfield,NE,7216,5655,0.784
Bristow,NE,1930,1493,0.774
Brunswick,NE,9342,6211,0.665
Butte,NE,3416,757,0.222
Carroll,NE,7700,4546,0.590
Center,NE,7788,5972,0.767
Chambers,NE,8722,5043,0.578
Clearwater,NE,2452,814,0.332
Coleridge,NE,4287,2148,0.501
Concord,NE,7292,5604,0.769
Creighton,NE,2088,472,0.226
Crofton,NE,7750,3607,0.465
Dakota City,NE,600,52,0.087
Dixon,NE,4841,3804,0.786
Emerson,NE,3917,926,0.236
Emmet,NE,2386,1389,0.582
Ewing,NE,5655,4995,0.883
Fordyce,NE,6111,1359,0.222
Hadar,NE,9513,1216,0.128
Hartington,NE,3859,1486,0.385
Hoskins,NE,1835,1224,0.667
Hubbard,NE,2649,1374,0.519
Inman,NE,7152,7062,0.987
Jackson,NE,6695,2709,0.405
Laurel,NE,7533,1343,0.178
Lynch,NE,1819,770,0.423
Mclean,NE,3887,1905,0.490
Madison,NE,7252,1069,0.147
Magnet,NE,6690,284,0.042
Maskell,NE,1450,1350,0.931
Meadow Grove,NE,3324,136,0.041
Mills,NE,4934,3804,0.771
Naper,NE,1714,790,0.461
Neligh,NE,1720,33,0.019
Newcastle,NE,4210,905,0.215
Newman Grove,NE,7359,5399,0.734
Newport,NE,1244,313,0.252
Niobrara,NE,3273,1987,0.607
Oakdale,NE,4034,768,0.190
Oneill,NE,355,278,0.783
Orchard,NE,9078,744,0.082
Osmond,NE,1401,1054,0.752
Page,NE,346,160,0.462
Pierce,NE,8455,8169,0.966
Pilger,NE,5595,1958,0.350
Plainview,NE,6863,406,0.059
Ponca,NE,1291,421,0.326
Randolph,NE,7145,6817,0.954
Royal,NE,155,86,0.555
Saint Helena,NE,9120,2756,0.302
South Sioux City,NE,1184,542,0.458
Spencer,NE,3116,2977,0.955
Springview,NE,5162,384,0.074
Stanton,NE,4805,805,0.168
Stuart,NE,1924,181,0.094
Tilden,NE,5397,2520,0.467
Verdigre,NE,4116,2053,0.499
Wakefield,NE,5698,1830,0.321
Waterbury,NE,6631,661,0.100
Wausa,NE,8027,2128,0.265
Wayne,NE,2236,1899,0.849
West Point,NE,6509,2573,0.395
Winnetoon,NE,9866,7386,0.749
Winside,NE,6219,962,0.155
Wisner,NE,1022,682,0.667
Wynot,NE,2419,1440,0.595
Grand Island,NE,9830,3507,0.357
Grand Island,NE,41,35,0.854
Grand Island,NE,4305,3248,0.754
Alda,NE,5224,2781,0.532
Amherst,NE,8826,2945,0.334
Anselmo,NE,1894,1460,0.771
Ansley,NE,2794,1151,0.412
Arcadia,NE,9234,857,0.093
Archer,NE,1056,548,0.519
Ashton,NE,3277,1314,0.401
Aurora,NE,3074,2087,0.679
Boelus,NE,9319,3275,0.351
Brewster,NE,8538,3919,0.459
Broken Bow,NE,9528,3175,0.333
Burwell,NE,1331,806,0.606
Cairo,NE,9701,4880,0.503
Callaway,NE,534,59,0.110
Central City,NE,3644,3246,0.891
Chapman,NE,3181,783,0.246
Comstock,NE,8968,1253,0.140
Dannebrog,NE,7089,4501,0.635
Doniphan,NE,6464,4192,0.649
Dunning,NE,6800,37,0.005
Eddyville,NE,5377,4498,0.837
Elba,NE,254,86,0.339
Elm Creek,NE,558,81,0.145
Elyria,NE,9202,3286,0.357
Farwell,NE,1895,920,0.485
Gibbon,NE,9627,2310,0.240
Giltner,NE,6454,856,0.133
Greeley,NE,5231,3745,0.716
Hampton,NE,4527,3887,0.859
Hazard,NE,8690,3678,0.423
Kearney,NE,6557,1496,0.228
Hordville,NE,6017,27,0.004
Kearney,NE,1800,973,0.541
Kearney,NE,8254,5164,0.626
Kearney,NE,9334,1477,0.158
Lexington,NE,2962,1275,0.430
Litchfield,NE,9626,3597,0.374
Loup City,NE,2185,420,0.192
Marquette,NE,4487,2735,0.610
Mason City,NE,3419,2087,0.610
Merna,NE,6649,5029,0.756
Miller,NE,5036,2487,0.494
North Loup,NE,1736,1175,0.677
Oconto,NE,7389,2641,0.357
Odessa,NE,8916,3824,0.429
Ord,NE,2528,1985,0.785
Overton,NE,9147,5914,0.647
Palmer,NE,6368,2927,0.460
Phillips,NE,4838,1963,0.406
Pleasanton,NE,1803,158,0.088
Ravenna,NE,2914,1812,0.622
Riverdale,NE,4927,1913,0.388
Rockville,NE,4166,1019,0.245
Saint Libory,NE,5449,4732,0.868
Saint Paul,NE,8394,7892,0.940
Sargent,NE,3523,2452,0.696
Scotia,NE,8150,7507,0.921
Shelton,NE,1570,686,0.437
Sumner,NE,7343,2929,0.399
Taylor,NE,6122,5420,0.885
Westerville,NE,1472,865,0.588
Wolbach,NE,3837,2143,0.559
Wood River,NE,6639,2190,0.330
Hastings,NE,2330,603,0.259
Hastings,NE,5577,3784,0.679
Alma,NE,7275,3852,0.529
Arapahoe,NE,4165,2364,0.568
Atlanta,NE,8730,3044,0.349
Axtell,NE,5931,3932,0.663
Ayr,NE,9627,2624,0.273
Beaver City,NE,3800,666,0.175
Bertrand,NE,5162,554,0.107
Bladen,NE,9118,7739,0.849
Bloomington,NE,2852,1326,0.465
Blue Hill,NE,4291,2045,0.477
Campbell,NE,8246,4508,0.547
Clay Center,NE,5883,2297,0.390
Deweese,NE,1717,1307,0.761
Edgar,NE,4731,659,0.139
Edison,NE,1739,944,0.543
Elwood,NE,8177,3704,0.453
Fairfield,NE,7515,1611,0.214
Franklin,NE,1463,989,0.676
Funk,NE,2907,2529,0.870
Glenvil,NE,5256,1755,0.334
Guide Rock,NE,779,347,0.445
Hardy,NE,6618,5280,0.798
Harvard,NE,1746,1029,0.589
Heartwell,NE,7026,4042,0.575
Hendley,NE,7943,6740,0.849
Hildreth,NE,8478,6639,0.783
Holbrook,NE,5921,4386,0.741
Holdrege,NE,1969,770,0.391
Holstein,NE,6359,4531,0.713
Inavale,NE,2231,816,0.366
Inland,NE,5758,564,0.098
Juniata,NE,2112,52,0.025
Kenesaw,NE,704,121,0.172
Lawrence,NE,6689,6538,0.977
Loomis,NE,4918,4768,0.969
Minden,NE,9569,1817,0.190
Naponee,NE,979,709,0.724
Nelson,NE,6159,1114,0.181
Oak,NE,3878,578,0.149
Orleans,NE,9379,1448,0.154
Oxford,NE,4689,2174,0.464
Ragan,NE,1907,298,0.156
Red Cloud,NE,3646,959,0.263
Republican City,NE,8638,2542,0.294
Riverton,NE,3820,751,0.197
Roseland,NE,7886,1418,0.180
Ruskin,NE,7315,2291,0.313
Saronville,NE,642,453,0.706
Smithfield,NE,7366,891,0.121
Stamford,NE,3661,190,0.052
Superior,NE,5182,965,0.186
Sutton,NE,1737,1502,0.865
Trumbull,NE,5486,1806,0.329
Upland,NE,8390,5650,0.673
Wilcox,NE,4683,840,0.179
Mc Cook,NE,1535,564,0.367
Bartley,NE,3173,1068,0.337
Benkelman,NE,3966,3220,0.812
Cambridge,NE,955,392,0.410
Champion,NE,16,7,0.438
Culbertson,NE,957,745,0.778
Curtis,NE,5275,4598,0.872
Danbury,NE,1361,80,0.059
Enders,NE,2152,1369,0.636
Eustis,NE,4893,4374,0.894
Farnam,NE,6049,4075,0.674
Haigler,NE,4448,887,0.199
Hayes Center,NE,8084,7258,0.898
Imperial,NE,6033,654,0.108
Indianola,NE,3470,226,0.065
Lebanon,NE,864,356,0.412
Max,NE,2133,732,0.343
Maywood,NE,9935,5598,0.563
Moorefield,NE,5039,1554,0.308
Palisade,NE,8059,6976,0.866
Parks,NE,7593,4961,0.653
Stockville,NE,3402,942,0.277
Stratton,NE,8837,6671,0.755
Trenton,NE,5188,3529,0.680
Wauneta,NE,337,85,0.252
Wilsonville,NE,1327,1166,0.879
North Platte,NE,4433,2696,0.608
North Platte,NE,3125,120,0.038
Arnold,NE,7670,4200,0.548
Arthur,NE,644,432,0.671
Big Springs,NE,8596,5146,0.599
Brady,NE,9025,892,0.099
Broadwater,NE,1304,1053,0.808
Brule,NE,8718,5495,0.630
Bushnell,NE,9839,4680,0.476
Chappell,NE,6234,4752,0.762
Cozad,NE,3658,2528,0.691
Dalton,NE,4933,1725,0.350
Dickens,NE,8576,5504,0.642
Dix,NE,8198,3048,0.372
Elsie,NE,5115,2118,0.414
Elsmere,NE,7764,4678,0.603
Gothenburg,NE,4214,970,0.230
Grant,NE,3081,2705,0.878
Gurley,NE,4092,3159,0.772
Halsey,NE,6426,2488,0.387
Hershey,NE,500,232,0.464
Keystone,NE,7334,2872,0.392
Kimball,NE,3050,2929,0.960
Lemoyne,NE,3478,2029,0.583
Lewellen,NE,6248,5842,0.935
Lisco,NE,7729,895,0.116
Lodgepole,NE,5401,5107,0.946
Madrid,NE,4084,985,0.241
Maxwell,NE,7100,2312,0.326
Mullen,NE,7738,4119,0.532
Ogallala,NE,5580,4221,0.756
Oshkosh,NE,7202,5421,0.753
Paxton,NE,3291,1613,0.490
Potter,NE,6921,3019,0.436
Purdum,NE,1279,1234,0.965
Sidney,NE,1804,1652,0.916
Seneca,NE,4319,3968,0.919
Sidney,NE,8816,1597,0.181
Stapleton,NE,3769,674,0.179
Sutherland,NE,4710,4141,0.879
Thedford,NE,1113,338,0.304
Tryon,NE,152,148,0.974
Venango,NE,1748,352,0.201
Wallace,NE,3101,737,0.238
Wellfleet,NE,8048,5639,0.701
Willow Island,NE,5654,3884,0.687
Oshkosh,NE,6840,2984,0.436
Valentine,NE,2633,794,0.302
Ainsworth,NE,9238,3996,0.433
Cody,NE,5496,2247,0.409
Crookston,NE,1471,1034,0.703
Johnstown,NE,7317,2656,0.363
Kilgore,NE,7453,4110,0.551
Long Pine,NE,289,153,0.529
Merriman,NE,5519,581,0.105
Nenzel,NE,197,44,0.223
Sparks,NE,9542,7104,0.744
Wood Lake,NE,2756,1559,0.566
Alliance,NE,6976,6011,0.862
Angora,NE,7332,6498,0.886
Ashby,NE,5175,65,0.013
Bayard,NE,3039,1168,0.384
Bingham,NE,3636,261,0.072
Bridgeport,NE,2175,1637,0.753
Chadron,NE,4334,4242,0.979
Crawford,NE,6511,488,0.075
Ellsworth,NE,8425,7412,0.880
Gering,NE,4738,3395,0.717
Gordon,NE,7450,2622,0.352
Harrisburg,NE,8617,3356,0.389
Harrison,NE,969,677,0.699
Hay Springs,NE,4536,1164,0.257
Hemingford,NE,2026,951,0.469
Hyannis,NE,7753,4165,0.537
Lakeside,NE,1647,271,0.165
Lyman,NE,7883,7350,0.932
Mcgrew,NE,1397,855,0.612
Marsland,NE,7930,543,0.068
Melbeta,NE,4826,4553,0.943
Minatare,NE,9488,4258,0.449
Mitchell,NE,8286,7943,0.959
Morrill,NE,3824,1213,0.317
Rushville,NE,5149,3132,0.608
Scottsbluff,NE,4798,975,0.203
Scottsbluff,NE,6973,2865,0.411
Whiteclay,NE,9937,3891,0.392
Whitman,NE,6901,5233,0.758
Whitney,NE,5003,339,0.068
Metairie,LA,1229,53,0.043
Metairie,LA,4512,940,0.208
Metairie,LA,3892,265,0.068
Metairie,LA,2080,641,0.308
Metairie,LA,9000,3202,0.356
Metairie,LA,3249,2158,0.664
Metairie,LA,7917,2319,0.293
Metairie,LA,1892,973,0.514
Metairie,LA,8,1,0.125
Des Allemands,LA,644,264,0.410
Ama,LA,5346,2583,0.483
Arabi,LA,8363,5312,0.635
Metairie,LA,3311,329,0.099
Barataria,LA,4651,925,0.199
Belle Chasse,LA,181,83,0.459
Boothville,LA,8742,6216,0.711
Boutte,LA,6270,2580,0.411
Braithwaite,LA,5268,3466,0.658
Buras,LA,2715,228,0.084
Chalmette,LA,7515,315,0.042
Chalmette,LA,6241,4904,0.786
Destrehan,LA,5811,2722,0.468
Edgard,LA,3031,2498,0.824
Empire,LA,5005,4369,0.873
Garyville,LA,3730,3333,0.894
Gramercy,LA,5487,5015,0.914
Gretna,LA,1299,905,0.697
Gretna,LA,9200,3496,0.380
Metairie,LA,4091,71,0.017
Gretna,LA,9575,1085,0.113
Hahnville,LA,5479,1858,0.339
Harvey,LA,6274,5060,0.807
Harvey,LA,4720,2214,0.469
Metairie,LA,6579,6162,0.937
Kenner,LA,3519,2625,0.746
Kenner,LA,8928,6052,0.678
Kenner,LA,6883,1188,0.173
Kenner,LA,9696,9682,0.999
Lafitte,LA,3093,2609,0.844
La Place,LA,9671,8262,0.854
La Place,LA,6630,1191,0.180
Luling,LA,5761,4712,0.818
Lutcher,LA,1496,873,0.584
Marrero,LA,707,435,0.615
Marrero,LA,2767,1491,0.539
Meraux,LA,6969,532,0.076
Mount Airy,LA,3375,116,0.034
New Sarpy,LA,9242,1566,0.169
Norco,LA,761,587,0.771
Paradis,LA,2865,1341,0.468
Pilottown,LA,6793,5584,0.822
Pointe A La Hache,LA,7106,4539,0.639
Port Sulphur,LA,4531,3044,0.672
Reserve,LA,2878,2103,0.731
Saint Bernard,LA,6218,5008,0.805
Saint James,LA,3866,726,0.188
Saint Rose,LA,7450,4863,0.653
Vacherie,LA,5309,69,0.013
Venice,LA,524,145,0.277
Violet,LA,4083,3671,0.899
Belle Chasse,LA,2142,1629,0.761
Westwego,LA,8652,79,0.009
Westwego,LA,8605,7958,0.925
Kenner,LA,7454,2254,0.302
New Orleans,LA,5529,2972,0.538
New Orleans,LA,46,9,0.196
New Orleans,LA,8973,3224,0.359
New Orleans,LA,9316,5345,0.574
New Orleans,LA,9536,2847,0.299
New Orleans,LA,3730,3284,0.880
New Orleans,LA,2443,1428,0.585
New Orleans,LA,7487,377,0.050
New Orleans,LA,5305,2484,0.468
New Orleans,LA,18,1,0.056
New Orleans,LA,2427,563,0.232
New Orleans,LA,2477,2110,0.852
New Orleans,LA,1744,827,0.474
New Orleans,LA,1629,532,0.327
New Orleans,LA,2797,343,0.123
New Orleans,LA,8522,2619,0.307
New Orleans,LA,7549,39,0.005
New Orleans,LA,3405,1116,0.328
New Orleans,LA,8047,3013,0.374
New Orleans,LA,23,7,0.304
New Orleans,LA,7965,3225,0.405
New Orleans,LA,9895,4976,0.503
New Orleans,LA,1613,834,0.517
New Orleans,LA,2886,1336,0.463
New Orleans,LA,9292,6321,0.680
New Orleans,LA,1102,683,0.620
New Orleans,LA,5643,924,0.164
New Orleans,LA,2547,2484,0.975
New Orleans,LA,9720,4402,0.453
New Orleans,LA,4494,20,0.004
New Orleans,LA,2192,1254,0.572
New Orleans,LA,321,220,0.685
New Orleans,LA,4798,2104,0.439
New Orleans,LA,5581,3964,0.710
New Orleans,LA,4475,2748,0.614
New Orleans,LA,1573,190,0.121
New Orleans,LA,3957,3329,0.841
New Orleans,LA,9079,7087,0.781
New Orleans,LA,5123,884,0.173
New Orleans,LA,2289,2065,0.902
New Orleans,LA,8546,8366,0.979
New Orleans,LA,8227,5809,0.706
New Orleans,LA,1743,797,0.457
New Orleans,LA,92,79,0.859
New Orleans,LA,7390,6368,0.862
New Orleans,LA,7883,5349,0.679
New Orleans,LA,7797,7093,0.910
New Orleans,LA,3550,1234,0.348
New Orleans,LA,9863,7318,0.742
New Orleans,LA,266,248,0.932
New Orleans,LA,4083,962,0.236
New Orleans,LA,8631,2571,0.298
New Orleans,LA,9167,707,0.077
New Orleans,LA,7458,2656,0.356
New Orleans,LA,9533,7229,0.758
New Orleans,LA,8133,7318,0.900
New Orleans,LA,9775,7797,0.798
New Orleans,LA,2348,1439,0.613
New Orleans,LA,745,78,0.105
New Orleans,LA,6576,5476,0.833
New Orleans,LA,1667,628,0.377
New Orleans,LA,5777,1705,0.295
New Orleans,LA,2689,1610,0.599
Thibodaux,LA,4437,3828,0.863
Thibodaux,LA,2851,828,0.290
Thibodaux,LA,3567,1898,0.532
Pierre Part,LA,4513,3199,0.709
Amelia,LA,9943,3742,0.376
Belle Rose,LA,6628,5750,0.868
Berwick,LA,8195,6940,0.847
Bourg,LA,3535,2423,0.685
Chauvin,LA,171,116,0.678
Cut Off,LA,889,781,0.879
Donaldsonville,LA,3076,304,0.099
Donner,LA,3458,2243,0.649
Dulac,LA,3198,1368,0.428
Galliano,LA,6491,1988,0.306
Gheens,LA,5890,99,0.017
Gibson,LA,5273,1093,0.207
Golden Meadow,LA,4699,3424,0.729
Grand Isle,LA,8457,3027,0.358
Gray,LA,6060,543,0.090
Houma,LA,3193,3003,0.940
Houma,LA,5139,925,0.180
Houma,LA,7599,724,0.095
Houma,LA,7995,6636,0.830
Kraemer,LA,7612,538,0.071
Labadieville,LA,6034,391,0.065
Larose,LA,7701,3441,0.447
Lockport,LA,2857,817,0.286
Mathews,LA,3171,956,0.301
Montegut,LA,6877,2506,0.364
Morgan City,LA,3926,1603,0.408
Morgan City,LA,8816,1358,0.154
Napoleonville,LA,8340,6344,0.761
Paincourtville,LA,3165,1221,0.386
Patterson,LA,5209,4126,0.792
Plattenville,LA,3607,1390,0.385
Raceland,LA,812,543,0.669
Schriever,LA,2348,45,0.019
Theriot,LA,9304,6662,0.716
Hammond,LA,479,407,0.850
Hammond,LA,8432,3811,0.452
Hammond,LA,2994,1393,0.465
Hammond,LA,4922,2170,0.441
Abita Springs,LA,3420,481,0.141
Akers,LA,8102,3690,0.455
Amite,LA,8336,5729,0.687
Angie,LA,8592,4345,0.506
Bogalusa,LA,8335,2833,0.340
Bogalusa,LA,2757,2105,0.764
Bush,LA,1644,60,0.036
Covington,LA,4356,235,0.054
Covington,LA,6921,584,0.084
Covington,LA,1230,339,0.276
Fluker,LA,9144,1901,0.208
Folsom,LA,6737,6267,0.930
Franklinton,LA,7013,6941,0.990
Greensburg,LA,526,56,0.106
Husser,LA,4911,1984,0.404
Independence,LA,740,25,0.034
Kentwood,LA,6765,5222,0.772
Lacombe,LA,605,386,0.638
Loranger,LA,1378,385,0.279
Madisonville,LA,2665,1179,0.442
Mandeville,LA,3579,253,0.071
Maurepas,LA,1106,758,0.685
Mount Hermon,LA,9391,6944,0.739
Natalbany,LA,3896,1544,0.396
Pearl River,LA,3475,2165,0.623
Pine Grove,LA,5516,4665,0.846
Ponchatoula,LA,4614,16,0.003
Robert,LA,9894,3845,0.389
Roseland,LA,685,477,0.696
Saint Benedict,LA,9206,3279,0.356
Slidell,LA,5696,953,0.167
Slidell,LA,1225,735,0.600
Slidell,LA,6920,324,0.047
Slidell,LA,5267,1072,0.204
Springfield,LA,1060,40,0.038
Sun,LA,7570,5180,0.684
Talisheek,LA,9177,8437,0.919
Tangipahoa,LA,7090,5608,0.791
Tickfaw,LA,7381,2639,0.358
Varnado,LA,8995,4075,0.453
Slidell,LA,5396,3370,0.625
Mandeville,LA,6479,3930,0.607
Mandeville,LA,1790,381,0.213
Lafayette,LA,3599,1403,0.390
Lafayette,LA,9476,1781,0.188
Lafayette,LA,5699,864,0.152
Lafayette,LA,8766,7346,0.838
Lafayette,LA,5900,5238,0.888
Lafayette,LA,9683,854,0.088
Lafayette,LA,2259,895,0.396
Lafayette,LA,6519,5799,0.890
Lafayette,LA,669,259,0.387
Abbeville,LA,5066,1916,0.378
